"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","2.4","30.4","0.3","0.0","8.4"
"Kevin Rader","TEN","0.8","44.0","0.3","0.1","6.3"
"","high","0.8","79.8","0.3","0.0","14.8"
"","low","0.8","8.3","0.2","0.1","3.4"
"Noah Togiai","ARI","3.0","32.0","0.2","0.0","6.2"
"","high","4.0","42.8","0.3","0.0","7.6"
"","low","2.0","21.1","0.2","0.0","7.0"
"Pharaoh Brown","IND","2.0","45.3","0.1","0.1","5.8"
"","high","3.2","98.1","0.2","0.0","16.3"
"","low","0.7","6.8","0.0","0.2","2.9"
"Feleipe Franks","ATL","3.1","29.4","0.2","0.0","5.8"
"","high","3.1","29.4","0.2","0.0","6.0"
"","low","3.1","29.4","0.2","0.0","6.0"
"Tyler Mabry","SEA","2.8","29.5","0.2","0.0","5.7"
"","high","4.1","38.8","0.2","0.0","6.7"
"","low","1.5","20.2","0.2","0.0","6.3"
"Kaden Smith","WAS","3.3","29.6","0.2","0.0","5.6"
"","high","3.3","29.6","0.2","0.0","5.8"
"","low","3.3","29.6","0.2","0.0","5.8"
"Sean McKeon","DAL","2.5","24.5","0.3","0.0","5.6"
"","high","3.9","38.1","0.4","0.0","7.2"
"","low","1.0","11.4","0.3","0.0","5.0"
"Jake Tonges","CHI","2.7","25.8","0.2","0.0","5.1"
"","high","2.7","25.8","0.2","0.0","5.3"
"","low","2.7","25.8","0.2","0.0","5.3"
"Tyler Davis","GB","2.5","21.2","0.3","0.0","5.0"
"","high","3.8","38.3","0.3","0.0","6.9"
"","low","1.2","11.5","0.2","0.0","4.8"
"Matt Sokol","NE","1.7","17.2","0.3","0.0","4.5"
"","high","1.7","17.2","0.3","0.0","6.1"
"","low","1.7","17.2","0.3","0.0","6.1"
"Nick Vannett","HOU","2.1","19.0","0.1","0.0","3.7"
"","high","3.7","32.5","0.2","0.0","5.7"
"","low","0.5","5.6","0.1","0.0","2.4"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","1.0"
"","high","0.5","3.9","0.1","0.0","1.6"
"","low","0.5","3.9","0.1","0.0","1.6"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.3"
"","high","0.3","2.0","0.0","0.0","0.7"
"","low","0.3","2.0","0.0","0.0","0.7"
"Mitchell Wilcox","CIN","0.0","88.2","0.0","0.0","0.0"
"","high","0.0","88.2","0.0","0.0","0.0"
"","low","0.0","88.2","0.0","0.0","0.0"
"MyCole Pruitt","ATL","0.0","52.3","0.4","0.0","0.0"
"","high","0.0","52.3","0.4","0.0","0.0"
"","low","0.0","52.3","0.4","0.0","0.0"
"Kendall Blanton","KC","0.0","91.0","0.3","0.1","0.0"
"","high","0.0","91.0","0.3","0.1","0.0"
"","low","0.0","91.0","0.3","0.1","0.0"
"Jacob Hollister","LV","0.0","23.5","0.5","0.0","0.0"
"","high","0.0","23.5","0.5","0.0","0.0"
"","low","0.0","23.5","0.5","0.0","0.0"
"Tyree Jackson","PHI","0.0","14.0","0.2","0.0","0.0"
"","high","0.0","14.0","0.2","0.0","0.0"
"","low","0.0","14.0","0.2","0.0","0.0"
""
""
