"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","30.9","394.0","0.6","0.0","0.0","0.0","0.3","76.6"
"Nick Westbrook-Ikhine","TEN","29.1","400.3","2.5","0.0","0.4","0.0","0.2","69.1"
"","high","32.8","464.0","4.0","0.0","1.8","0.0","0.0","106.8"
"","low","23.5","310.5","1.2","0.0","0.0","0.0","0.5","55.0"
"Kendrick Bourne","NE","26.6","401.3","1.7","3.7","28.0","0.1","0.1","67.3"
"","high","31.6","460.1","2.4","4.5","29.3","0.2","0.0","87.5"
"","low","21.6","340.8","0.8","3.0","25.5","0.0","0.2","69.0"
"Terrace Marshall Jr.","CAR","22.9","409.8","1.3","0.0","0.2","0.0","0.0","60.4"
"","high","34.0","587.5","2.0","0.0","0.6","0.0","0.0","93.0"
"","low","11.5","200.9","0.4","0.0","0.0","0.0","0.0","48.0"
"Richie James Jr.","KC","26.8","352.7","2.2","0.6","1.8","0.0","1.6","59.0"
"","high","57.0","661.0","6.0","1.0","4.0","0.0","0.0","99.4"
"","low","8.6","108.8","0.7","0.0","0.0","0.0","3.0","28.1"
"Sterling Shepard","NYG","26.3","336.0","1.6","2.0","12.8","0.1","0.3","57.2"
"","high","48.0","520.0","4.0","3.1","27.0","0.2","0.0","86.3"
"","low","13.5","174.4","0.4","0.0","0.0","0.0","1.0","36.6"
"Isaiah McKenzie","IND","25.9","301.6","1.3","7.9","38.3","0.3","0.0","56.5"
"","high","33.4","341.4","2.0","10.2","52.2","0.5","0.0","82.6"
"","low","18.3","239.8","0.9","5.5","30.5","0.1","0.0","59.5"
"Marvin Mims Jr.","DEN","21.3","346.5","1.5","1.1","5.3","0.0","0.2","54.7"
"","high","40.5","523.8","3.3","2.2","13.6","0.1","0.0","93.5"
"","low","2.2","27.0","0.2","0.0","0.0","0.0","0.3","16.9"
"Laviska Shenault Jr.","CAR","19.8","265.5","0.8","18.6","88.1","0.8","0.2","54.3"
"","high","21.6","381.3","1.3","27.8","158.7","1.7","0.1","76.2"
"","low","18.1","198.1","0.1","9.3","49.6","0.3","0.3","61.2"
"Josh Downs","IND","19.7","349.5","1.3","1.3","8.3","0.0","0.2","53.3"
"","high","28.5","582.3","1.7","2.5","15.4","0.1","0.0","103.5"
"","low","11.0","144.0","0.8","0.0","0.0","0.0","0.4","41.2"
"Tutu Atwell","LAR","20.7","301.7","1.1","7.0","31.7","0.4","0.4","51.9"
"","high","30.0","487.0","2.0","10.0","54.2","1.0","0.0","66.3"
"","low","16.0","210.0","0.0","1.9","12.2","0.1","1.0","45.1"
"Braxton Berrios","MIA","20.1","262.4","0.9","2.6","27.1","0.5","0.4","46.6"
"","high","36.5","410.9","2.3","5.2","41.8","1.2","0.0","106.8"
"","low","3.6","34.2","0.2","0.0","0.0","0.0","0.7","14.9"
"Quez Watkins","PHI","17.6","292.0","1.2","0.8","1.2","0.0","0.2","44.7"
"","high","20.8","440.6","1.7","1.5","2.2","0.0","0.0","76.8"
"","low","14.4","170.2","0.7","0.0","0.0","0.0","0.4","30.1"
