"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","65.7","246.9","0.9","9.3","85.6","0.3","0.1","46.1"
"","low","6.7","27.8","0.0","3.0","20.9","0.0","0.3","11.4"
"Tyrion Davis-Price","SF","36.3","143.2","0.5","3.6","45.7","0.1","0.2","23.8"
"","high","65.7","246.9","1.2","3.8","85.6","0.2","0.2","45.0"
"","low","10.1","42.0","0.0","3.5","25.3","0.0","0.3","11.5"
"Travis Homer","CHI","18.0","92.8","0.3","8.3","72.7","0.2","0.1","23.7"
"","high","34.0","197.0","0.7","14.7","148.5","0.7","0.0","52.1"
"","low","5.7","24.9","0.0","3.1","22.8","0.0","0.2","10.7"
"Tyler Badie","DEN","17.2","88.7","0.4","9.5","56.8","0.2","0.1","22.9"
"","high","29.6","151.0","1.1","14.9","106.5","0.5","0.1","54.5"
"","low","4.7","20.0","0.0","4.1","30.9","0.0","0.1","11.9"
"Deneric Prince","KC","31.4","117.5","0.5","5.4","46.9","0.2","0.2","22.7"
"","high","49.0","164.8","0.9","6.4","61.1","0.3","0.1","33.8"
"","low","13.8","57.2","0.0","4.5","33.3","0.0","0.3","17.4"
"Patrick Taylor Jr.","GB","22.3","106.7","0.7","6.2","35.9","0.2","0.1","22.6"
"","high","28.7","158.4","1.3","8.4","61.9","0.4","0.1","34.5"
"","low","15.2","45.1","0.0","4.3","15.6","0.0","0.1","12.1"
"Demetric Felton Jr.","CLE","20.2","79.4","0.2","10.1","70.1","0.2","0.1","22.5"
"","high","29.6","97.8","0.6","16.5","147.5","0.5","0.1","52.1"
"","low","10.8","45.2","0.0","3.8","29.8","0.0","0.1","14.2"
"D'Ernest Johnson","JAC","31.7","131.3","0.4","4.7","39.0","0.1","0.0","22.4"
"","high","60.6","274.9","1.0","5.0","78.6","0.2","0.0","48.3"
"","low","4.5","19.6","0.1","4.5","21.7","0.0","0.0","9.5"
"Dare Ogunbowale","HOU","16.9","76.2","0.5","9.5","60.3","0.2","0.1","22.3"
"","high","29.6","130.5","1.0","13.3","104.9","0.3","0.0","48.1"
"","low","4.7","19.2","0.0","3.9","26.1","0.0","0.2","10.8"
"James Robinson","NYG","44.0","139.6","0.2","4.0","44.8","0.1","0.4","21.2"
"","high","78.3","236.9","0.4","4.0","64.6","0.2","0.4","41.1"
"","low","9.8","42.2","0.0","4.0","25.0","0.0","0.4","11.8"
"Damien Williams","LV","25.9","79.2","0.5","7.0","37.9","0.5","0.1","21.1"
