"Player","Team","REC","YDS","TDS","FL","FPTS"
"Parker Hesse","ATL","2.1","35.0","0.1","0.0","5.2"
"","high","3.2","66.5","0.2","0.0","12.9"
"","low","1.0","9.3","0.0","0.0","3.8"
"Matt Sokol","NE","1.7","17.2","0.3","0.0","4.5"
"","high","1.7","17.2","0.3","0.0","6.1"
"","low","1.7","17.2","0.3","0.0","6.1"
"Nick Vannett","HOU","2.1","18.9","0.1","0.0","3.7"
"","high","3.7","32.2","0.2","0.0","5.6"
"","low","0.5","5.6","0.1","0.0","2.4"
"Sean McKeon","DAL","1.0","11.4","0.3","0.0","3.3"
"","high","1.0","11.4","0.3","0.0","4.3"
"","low","1.0","11.4","0.3","0.0","4.3"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","1.0"
"","high","0.5","3.9","0.1","0.0","1.6"
"","low","0.5","3.9","0.1","0.0","1.6"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.3"
"","high","0.3","2.0","0.0","0.0","0.7"
"","low","0.3","2.0","0.0","0.0","0.7"
"MyCole Pruitt","ATL","0.0","30.6","0.4","0.0","0.0"
"","high","0.0","30.6","0.4","0.0","0.0"
"","low","0.0","30.6","0.4","0.0","0.0"
"Kendall Blanton","KC","0.0","79.8","0.3","0.1","0.0"
"","high","0.0","79.8","0.3","0.1","0.0"
"","low","0.0","79.8","0.3","0.1","0.0"
"Stephen Carlson","CHI","0.0","79.8","0.3","0.1","0.0"
"","high","0.0","79.8","0.3","0.1","0.0"
"","low","0.0","79.8","0.3","0.1","0.0"
"Tyree Jackson","PHI","0.0","57.1","0.3","0.0","0.0"
"","high","0.0","57.1","0.3","0.0","0.0"
"","low","0.0","57.1","0.3","0.0","0.0"
"Jacob Hollister","LV","0.0","23.5","0.5","0.0","0.0"
"","high","0.0","23.5","0.5","0.0","0.0"
"","low","0.0","23.5","0.5","0.0","0.0"
""
""
